,年份,月份,測站,平均,最高/日期,最低/日期,降水量(毫米),最大十分鐘風,最大瞬間風,相對溼度平均,最小相對溼度/日期,氣壓(百帕),降水日數(天),日照時數(小時)
357,2010,1,臺東,20.1,27.9/14,12.6/28,12.6,7.9/40.0/16,18.1/60.0/16,66,37/28,1014.4,6,113.9
358,2010,1,大武,20.8,28.3/13,12.8/27,13.3,8.3/20.0/14,14.5/350.0/16,68,42/28,1014.5,3,121.1
359,2010,1,蘭嶼,18.8,25.3/13,13.5/31,68.7,22.8/20.0/16,36.5/30.0/16,78,51/9,977.3,15,92.1
360,2010,1,馬祖,13.5,23.2/2,3.2/17,41.1,9.5/360.0/15,21.6/10.0/24,75,31/27,1008.7,6,180.0
361,2010,1,金門,14.8,25.8/6,3.2/17,34.1,8.1/60.0/24,18.1/50.0/15,73,27/31,1015.0,3,186.7
362,2010,1,澎湖,19.0,27.2/13,11.9/17,13.1,11.8/20.0/16,24.3/10.0/16,70,40/9,1014.7,2,188.1
363,2010,1,東吉島,19.9,26.3/13,13.2/16,10.5,24.3/20.0/16,32.8/10.0/16,69,38/30,1010.2,1,179.1
364,2010,2,彭佳嶼,16.0,23.4/30,8.9/12,72.2,17.6/10.0/12,25.1/30.0/12,79,43/13,1009.3,17,75.1
365,2010,2,基隆,16.5,26.0/19,6.9/13,322.7,11.2/10.0/11,17.9/20.0/11,81,48/15,1018.0,19,84.5
366,2010,2,臺北,16.9,27.8/20,7.0/13,105.3,8.7/70.0/26,16.7/60.0/26,78,40/15,1020.9,15,112.6
367,2010,2,鞍部,11.1,23.4/20,0.7/12,321.0,9.1/180.0/18,18.8/180.0/18,91,32/14,926.1,21,66.8
368,2010,2,竹子湖,12.5,24.2/20,1.8/13,224.5,9.1/20.0/21,19.8/350.0/26,82,46/15,950.8,20,103.4
369,2010,2,淡水,16.0,25.7/21,4.8/13,116.2,6.9/20.0/21,14.7/180.0/14,81,40/15,1019.5,13,101.5
370,2010,2,(原板橋),16.7,28.2/20,6.1/13,121.5,8.4/80.0/26,15.4/90.0/26,76,42/19,1020.3,14,117.5
371,2010,2,新竹,15.9,26.5/21,6.9/15,85.3,6.6/20.0/25,15.7/120.0/17,77,40/13,1017.5,11,121.4
372,2010,2,臺中,17.1,27.6/29,6.8/13,34.1,6.0/30.0/12,12.9/30.0/12,75,22/13,1009.9,9,153.8
373,2010,2,梧棲,16.2,25.5/21,7.6/14,24.7,12.9/10.0/25,22.2/20.0/25,78,29/13,1017.3,9,132.7
374,2010,2,日月潭,14.4,24.7/21,5.8/13,45.7,5.3/150.0/3,10.2/320.0/3,78,35/30,906.1,9,154.5
375,2010,2,嘉義,17.2,28.6/31,6.9/14,19.5,8.9/10.0/12,14.6/360.0/12,75,28/13,1016.6,7,160.1
376,2010,2,阿里山,6.8,16.2/20,-3.2/13,52.7,5.0/340.0/1,11.2/290.0/12,82,15/9,766.1,8,139.1
377,2010,2,玉山,-0.2,11.3/21,-12.5/13,22.4,15.4/290.0/5,23.7/300.0/31,63,13/17,641.8,6,213.5
378,2010,2,臺南,18.3,28.2/21,9.1/13,11.5,10.9/20.0/12,17.5/20.0/12,70,31/10,1016.8,3,186.1
379,2010,2,高雄,19.9,28.6/31,10.9/13,1.5,6.3/350.0/25,11.6/330.0/25,72,39/10,1018.6,2,199.8
380,2010,2,恆春,21.3,29.3/25,15.6/11,19.3,12.3/40.0/25,27.1/40.0/26,68,45/13,1016.1,6,176.1
381,2010,2,宜蘭,16.6,25.8/20,7.0/13,140.9,7.7/30.0/25,11.7/40.0/5,78,42/13,1020.7,20,93.5
382,2010,2,蘇澳,16.9,26.4/31,9.2/14,376.9,7.9/160.0/27,19.7/70.0/25,82,43/15,1018.6,21,92.4
383,2010,2,花蓮,18.5,26.4/31,10.9/14,71.3,9.5/50.0/25,16.3/60.0/25,75,43/13,1019.0,18,97.2
384,2010,2,成功,19.5,26.5/31,13.3/15,104.4,11.1/30.0/5,19.3/360.0/5,74,51/15,1016.2,16,71.7
385,2010,2,臺東,19.9,27.3/31,12.8/15,25.2,6.8/40.0/25,16.5/40.0/25,72,41/19,1019.1,13,106.0
386,2010,2,大武,20.8,28.3/31,15.4/9,28.1,9.1/20.0/25,17.5/40.0/25,70,45/14,1019.1,12,110.1
387,2010,2,蘭嶼,18.9,26.1/31,12.3/14,131.4,17.9/40.0/12,28.5/30.0/26,86,26/17,981.9,20,65.6
388,2010,2,馬祖,10.5,20.9/31,4.8/6,41.3,7.8/60.0/11,16.2/50.0/11,88,54/13,1013.0,12,82.0
389,2010,2,金門,13.3,25.5/21,5.1/13,25.6,9.4/70.0/25,19.7/70.0/25,75,32/13,1019.8,7,110.9
390,2010,2,澎湖,17.5,25.7/21,12.0/12,7.8,11.7/20.0/25,22.7/20.0/25,75,40/13,1019.4,5,109.6
391,2010,2,東吉島,18.8,26.5/21,13.2/12,5.0,20.3/10.0/25,26.8/10.0/25,76,40/13,1014.7,3,127.4
392,2010,3,彭佳嶼,16.8,26.6/11,8.7/12,119.8,16.6/40.0/11,23.9/50.0/11,85,59/20,1005.2,17,71.0
393,2010,3,基隆,16.6,30.5/26,9.2/19,368.6,11.0/20.0/17,17.4/20.0/16,88,52/26,1013.9,18,61.7
394,2010,3,臺北,17.6,31.8/26,9.7/19,232.6,9.4/60.0/11,17.9/70.0/11,84,46/24,1017.0,13,79.9
395,2010,3,鞍部,12.7,25.0/26,3.7/18,275.5,9.4/80.0/11,17.9/170.0/13,90,48/24,923.0,16,58.7
396,2010,3,竹子湖,14.0,26.3/26,5.2/19,232.2,9.4/20.0/12,20.4/20.0/12,85,53/24,947.5,14,76.8
397,2010,3,淡水,16.3,27.4/28,8.7/19,187.6,7.4/20.0/11,16.2/40.0/11,86,58/25,1015.7,15,76.4
398,2010,3,(原板橋),17.3,31.9/26,9.6/19,249.7,6.7/90.0/12,14.1/90.0/11,82,49/23,1016.4,14,80.3
399,2010,3,新竹,16.7,28.6/28,9.1/18,225.5,6.0/20.0/12,15.9/310.0/26,84,55/25,1014.1,15,75.1
400,2010,3,臺中,18.5,31.4/10,9.5/19,118.3,4.9/30.0/16,10.3/20.0/16,80,34/10,1006.8,11,118.4
401,2010,3,梧棲,17.5,28.9/11,9.2/19,93.7,11.3/10.0/16,22.2/30.0/18,82,44/25,1014.0,12,105.1
402,2010,3,日月潭,16.1,27.1/10,7.1/19,115.2,6.4/270.0/4,11.4/280.0/4,78,36/24,903.9,13,134.2
403,2010,3,嘉義,19.1,33.0/10,10.1/19,53.8,7.7/250.0/10,12.2/250.0/10,77,29/10,1013.4,11,127.4
404,2010,3,阿里山,8.8,17.1/10,1.5/23,199.2,5.1/270.0/16,12.6/230.0/25,79,14/24,765.4,9,109.6
405,2010,3,玉山,-0.7,10.0/3,-9.4/23,42.5,14.8/300.0/26,27.6/310.0/2,79,16/28,641.2,6,124.6
406,2010,3,臺南,20.2,30.5/11,10.6/19,32.0,8.9/220.0/24,15.2/70.0/17,74,47/23,1013.7,6,153.6
407,2010,3,高雄,21.5,30.5/11,12.0/19,10.5,6.2/310.0/7,11.2/300.0/7,74,50/23,1015.5,3,184.3
408,2010,3,恆春,22.7,30.1/11,15.6/22,0.2,9.8/40.0/16,21.7/50.0/16,76,40/22,1013.0,1,158.8
409,2010,3,宜蘭,18.3,28.5/26,10.8/19,179.9,10.4/70.0/11,17.1/70.0/11,80,56/22,1016.2,15,85.8
410,2010,3,蘇澳,18.3,27.4/26,11.2/18,169.4,8.8/60.0/1,22.9/60.0/1,84,59/25,1014.2,19,68.7
411,2010,3,花蓮,20.2,28.7/26,13.2/19,81.4,10.2/50.0/12,19.0/50.0/11,77,54/24,1015.0,15,81.3
412,2010,3,成功,21.4,29.5/11,14.6/19,71.4,11.8/220.0/25,19.8/20.0/12,78,58/26,1011.9,11,84.4
413,2010,3,臺東,21.9,32.6/11,14.0/19,12.6,6.9/200.0/25,14.7/200.0/11,76,35/11,1014.9,9,125.7
414,2010,3,大武,22.7,33.7/11,15.8/20,11.3,7.9/160.0/9,15.6/190.0/11,74,36/11,1015.3,9,154.9
415,2010,3,蘭嶼,20.8,26.9/7,15.0/18,116.0,23.0/40.0/18,31.7/60.0/18,91,67/22,978.8,10,102.9
416,2010,3,馬祖,11.4,25.7/26,4.4/17,154.9,12.0/210.0/25,20.9/220.0/11,91,59/21,1008.6,18,71.2
417,2010,3,金門,13.3,24.6/1,6.1/13,95.9,9.0/80.0/12,18.6/80.0/12,84,52/20,1015.9,14,41.1
418,2010,3,澎湖,18.5,28.8/11,10.8/19,20.8,10.5/20.0/12,19.6/20.0/16,83,60/20,1015.9,7,86.2
419,2010,3,東吉島,20.0,27.3/26,11.6/19,13.5,18.9/20.0/16,26.0/360.0/16,82,65/23,1011.6,5,107.9
420,2010,4,彭佳嶼,17.9,26.1/23,5.2/10,94.7,17.9/10.0/9,25.2/20.0/9,79,48/26,1006.0,11,135.3
421,2010,4,基隆,18.6,29.2/22,7.4/11,111.9,9.3/10.0/9,17.0/10.0/9,78,46/29,1014.6,13,115.5
422,2010,4,臺北,20.0,31.7/23,8.5/10,66.5,10.0/60.0/21,17.3/60.0/15,72,36/29,1017.4,6,152.9
423,2010,4,鞍部,14.0,24.7/19,0.1/10,102.5,11.5/350.0/25,18.7/150.0/29,88,15/19,923.9,10,118.6
424,2010,4,竹子湖,15.6,27.0/23,2.1/10,54.3,10.3/10.0/21,20.2/30.0/21,81,42/18,948.6,10,147.4
425,2010,4,淡水,18.6,28.2/23,4.6/10,62.3,7.4/20.0/6,15.4/160.0/30,77,39/29,1016.0,9,138.0
426,2010,4,(原板橋),19.7,31.3/23,8.1/11,63.2,8.3/80.0/21,16.1/90.0/21,74,43/29,1016.8,8,147.5
427,2010,4,新竹,19.0,29.1/23,8.0/10,84.0,6.8/20.0/16,16.2/120.0/26,75,40/29,1014.3,7,130.8
428,2010,4,臺中,21.1,31.4/15,9.5/10,22.6,6.3/30.0/9,13.9/30.0/9,72,36/26,1006.9,4,176.8
429,2010,4,梧棲,19.8,28.8/23,8.0/11,33.5,15.0/10.0/25,28.1/20.0/25,75,36/26,1014.2,3,169.3
430,2010,4,日月潭,17.5,28.8/24,4.5/10,33.2,4.9/280.0/24,8.6/270.0/24,78,44/6,904.5,7,156.9
431,2010,4,嘉義,21.4,32.9/4,8.3/11,6.9,8.7/10.0/9,14.7/360.0/9,73,40/4,1013.6,3,206.2
432,2010,4,阿里山,10.3,19.1/23,0.9/10,33.8,4.4/270.0/13,11.5/250.0/13,74,18/22,766.4,4,165.3
433,2010,4,玉山,2.6,14.9/30,-7.4/11,19.5,14.8/270.0/2,26.5/270.0/9,66,14/29,643.1,4,218.2
434,2010,4,臺南,22.8,32.4/6,10.2/11,0.3,11.8/30.0/25,21.1/30.0/25,66,41/29,1013.7,1,200.0
435,2010,4,高雄,23.7,31.9/14,12.7/10,1.0,6.8/350.0/25,12.9/340.0/25,69,48/31,1015.6,1,226.6
436,2010,4,恆春,23.9,32.0/14,15.3/11,4.1,13.1/50.0/26,27.0/30.0/28,72,42/27,1013.4,2,196.6
437,2010,4,宜蘭,19.7,29.3/20,6.9/11,25.2,9.2/70.0/15,14.4/20.0/10,74,44/29,1017.0,12,121.4
438,2010,4,蘇澳,19.8,29.8/15,7.0/11,41.3,9.2/10.0/25,22.5/360.0/25,76,43/29,1015.0,18,116.5
439,2010,4,花蓮,21.0,28.2/23,10.4/10,36.1,10.3/50.0/16,17.7/20.0/25,72,39/26,1015.4,8,137.5
440,2010,4,成功,21.9,29.4/23,12.1/10,58.3,10.7/10.0/26,18.1/30.0/16,76,49/29,1012.9,13,97.4
441,2010,4,臺東,22.4,29.9/6,11.9/11,51.7,7.6/40.0/25,17.9/50.0/28,73,47/26,1015.9,7,113.1
442,2010,4,大武,23.1,35.2/2,14.4/10,17.5,7.8/20.0/28,15.8/40.0/28,71,29/2,1016.0,5,143.7
443,2010,4,蘭嶼,21.1,27.0/24,12.5/10,118.0,22.6/30.0/16,34.2/50.0/25,86,66/26,979.5,16,90.3
444,2010,4,馬祖,12.6,24.4/23,4.5/11,170.0,10.2/210.0/20,17.1/210.0/20,85,54/10,1008.9,16,125.3
445,2010,4,金門,15.4,24.3/23,5.3/11,41.4,8.9/80.0/28,21.2/70.0/16,77,34/28,1015.9,7,107.6
446,2010,4,澎湖,20.9,30.8/23,11.8/10,3.3,11.4/20.0/26,23.1/20.0/26,77,45/28,1016.0,3,169.2
447,2010,4,東吉島,22.0,29.8/24,13.2/10,0.3,20.4/360.0/25,28.2/350.0/25,77,52/28,1011.7,1,177.3
448,2010,5,彭佳嶼,19.4,28.0/22,12.2/15,263.8,17.0/120.0/17,22.9/130.0/17,81,49/30,1003.8,19,76.1
449,2010,5,基隆,19.9,32.8/12,12.8/15,222.1,10.9/20.0/2,18.7/260.0/12,80,34/30,1012.4,19,63.8
450,2010,5,臺北,20.7,33.1/21,13.7/15,112.5,9.7/70.0/13,18.0/60.0/13,78,33/30,1015.1,18,74.0
451,2010,5,鞍部,14.6,26.2/22,7.5/15,227.5,10.6/150.0/13,22.2/130.0/13,92,37/29,922.3,20,57.9
452,2010,5,竹子湖,16.5,27.7/21,9.2/15,176.7,10.2/20.0/13,22.0/360.0/13,82,52/30,946.7,19,74.7
453,2010,5,淡水,19.8,30.2/12,12.9/16,156.7,7.5/20.0/2,14.3/20.0/13,80,32/30,1013.6,19,81.0
454,2010,5,(原板橋),20.6,32.8/21,13.6/15,129.5,8.4/260.0/12,16.6/230.0/12,77,38/30,1014.5,21,76.7
455,2010,5,新竹,20.3,31.4/12,13.2/15,168.5,7.1/70.0/24,19.1/60.0/13,78,41/29,1012.0,18,83.7
456,2010,5,臺中,22.0,32.4/22,14.1/16,158.4,5.4/30.0/23,10.9/20.0/23,78,27/10,1004.9,16,127.8
457,2010,5,梧棲,21.0,30.9/12,13.5/16,111.9,14.2/10.0/13,22.8/10.0/13,78,51/27,1012.1,13,120.9
458,2010,5,日月潭,18.5,27.7/13,12.4/30,185.1,10.1/150.0/20,14.7/150.0/20,84,30/10,903.2,18,99.6
459,2010,5,嘉義,22.2,33.8/21,14.2/16,69.0,8.2/250.0/20,14.2/270.0/20,78,35/10,1011.6,11,136.3
460,2010,5,阿里山,12.2,19.2/14,5.4/10,224.1,4.7/150.0/21,12.6/270.0/8,86,23/10,766.0,16,132.5
461,2010,5,玉山,3.8,13.7/12,-4.0/9,203.0,15.3/290.0/15,29.3/290.0/9,81,14/10,643.6,17,141.8
462,2010,5,臺南,23.7,33.9/13,15.5/16,28.1,9.9/190.0/11,15.8/200.0/11,70,44/10,1011.8,8,154.2
463,2010,5,高雄,24.9,32.9/21,17.4/16,48.0,6.5/310.0/9,11.8/130.0/11,74,45/10,1013.7,7,187.6
464,2010,5,恆春,24.9,32.4/21,18.8/30,19.5,11.9/40.0/13,24.7/40.0/13,71,47/25,1011.3,4,170.8
465,2010,5,宜蘭,20.7,31.3/22,14.1/15,117.6,7.9/70.0/13,14.1/320.0/9,78,32/30,1014.7,19,82.6
466,2010,5,蘇澳,20.7,30.8/21,14.6/15,188.4,9.2/150.0/21,17.9/30.0/15,81,28/30,1012.9,21,72.6
467,2010,5,花蓮,21.9,30.5/22,16.4/15,59.0,10.4/40.0/7,18.2/20.0/7,72,37/30,1013.3,17,84.7
468,2010,5,成功,22.9,31.0/12,17.7/30,41.9,12.3/220.0/12,19.7/20.0/22,81,41/30,1010.7,15,63.7
469,2010,5,臺東,23.5,33.8/12,17.7/16,45.3,6.9/50.0/13,15.9/40.0/13,76,49/30,1013.6,12,101.2
470,2010,5,大武,24.1,37.0/12,17.8/24,110.3,8.4/30.0/13,17.8/30.0/30,73,29/12,1013.9,12,114.4
471,2010,5,蘭嶼,21.9,28.2/5,15.7/30,107.0,23.6/40.0/13,34.9/40.0/30,90,69/24,977.6,15,80.9
472,2010,5,馬祖,14.5,25.8/21,7.3/14,293.0,11.9/210.0/1,22.3/210.0/1,88,53/28,1006.7,16,77.2
473,2010,5,金門,17.1,25.2/1,8.2/8,118.0,10.1/80.0/22,19.2/70.0/22,80,44/24,1013.7,19,83.3
474,2010,5,澎湖,21.7,31.0/21,14.9/8,30.8,9.7/20.0/7,20.2/20.0/24,82,54/24,1013.9,6,111.4
475,2010,5,東吉島,22.8,29.7/21,17.4/15,18.7,17.8/340.0/15,23.6/340.0/15,79,57/24,1009.8,8,129.2
476,2010,6,彭佳嶼,23.2,29.5/22,18.2/11,143.8,14.9/110.0/3,21.7/280.0/23,82,55/12,997.6,12,133.3
477,2010,6,基隆,24.5,34.2/19,18.8/10,180.2,8.0/40.0/3,13.0/250.0/16,79,43/26,1006.0,14,106.6
478,2010,6,臺北,25.5,34.8/19,18.7/10,183.9,7.6/60.0/12,14.1/150.0/23,75,37/25,1008.6,14,115.3
479,2010,6,鞍部,19.3,27.2/18,13.2/1,235.0,8.0/350.0/23,22.6/350.0/7,90,27/25,917.9,17,101.7
480,2010,6,竹子湖,21.1,29.2/17,14.2/31,166.7,7.1/350.0/23,12.4/350.0/23,82,32/25,941.8,12,57.0
481,2010,6,淡水,24.4,32.6/22,18.1/11,186.9,6.0/20.0/31,16.8/170.0/23,79,30/25,1007.1,12,137.1
482,2010,6,(原板橋),25.2,34.2/22,17.2/1,171.1,5.9/80.0/31,12.0/240.0/23,76,33/25,1008.1,14,122.8
483,2010,6,新竹,25.0,33.2/26,18.2/1,224.0,5.5/280.0/22,14.4/90.0/22,77,49/31,1006.0,13,135.7
484,2010,6,臺中,26.6,34.2/22,19.5/1,145.3,4.6/230.0/22,11.2/230.0/23,75,44/22,999.4,10,153.5
485,2010,6,梧棲,25.2,32.4/22,19.9/10,172.1,10.9/360.0/31,22.3/220.0/23,79,49/26,1006.5,11,153.7
486,2010,6,日月潭,21.4,30.1/20,14.6/1,238.0,8.8/230.0/23,21.2/250.0/23,84,44/20,899.7,14,118.0
487,2010,6,嘉義,26.5,34.4/22,17.6/1,103.8,9.1/220.0/23,17.5/200.0/23,77,43/9,1006.3,8,181.4
488,2010,6,阿里山,13.9,21.0/22,6.8/1,522.7,6.9/270.0/23,19.7/250.0/23,89,36/20,763.6,14,110.4
489,2010,6,玉山,5.9,18.2/19,-0.5/2,356.1,15.9/250.0/23,33.6/240.0/23,81,12/26,642.8,16,123.1
490,2010,6,臺南,27.6,34.8/10,20.7/1,114.0,9.3/230.0/28,16.2/310.0/23,71,38/2,1006.6,4,203.9
491,2010,6,高雄,27.8,33.3/27,21.2/1,188.0,9.4/280.0/23,18.0/270.0/23,75,44/2,1008.8,7,238.6
492,2010,6,恆春,27.2,33.0/27,22.5/24,253.7,7.1/80.0/26,16.4/50.0/1,75,46/26,1006.5,11,188.2
493,2010,6,宜蘭,24.9,31.6/19,17.1/1,95.0,8.5/330.0/29,13.6/330.0/29,79,43/31,1008.2,14,134.2
494,2010,6,蘇澳,24.9,31.9/22,18.0/1,67.0,9.0/150.0/4,16.2/60.0/10,79,50/31,1006.6,17,124.4
495,2010,6,花蓮,25.5,32.0/22,17.6/1,94.8,7.9/30.0/10,12.9/50.0/10,75,49/1,1007.3,13,131.7
496,2010,6,成功,25.7,32.2/22,20.1/1,198.6,10.6/220.0/23,21.6/170.0/23,83,57/2,1004.9,16,105.4
497,2010,6,臺東,26.5,34.5/22,20.5/1,121.1,6.8/40.0/14,15.4/200.0/23,79,46/22,1007.8,14,146.2
498,2010,6,大武,26.6,36.4/22,20.1/1,358.4,7.2/170.0/7,15.2/190.0/23,78,40/22,1008.3,17,160.8
499,2010,6,蘭嶼,24.1,28.9/16,20.6/1,301.3,21.7/250.0/29,31.2/260.0/23,91,71/1,972.7,16,106.1
500,2010,6,馬祖,19.6,27.0/23,14.7/13,141.7,12.3/210.0/22,22.2/210.0/22,90,63/8,1000.0,18,97.8
501,2010,6,金門,21.8,32.9/23,16.6/11,183.1,9.0/200.0/23,18.4/210.0/23,83,50/25,1006.9,14,107.1
502,2010,6,澎湖,25.2,32.3/21,19.5/1,71.3,7.4/190.0/22,16.2/250.0/23,85,56/31,1008.4,12,171.1
503,2010,6,東吉島,25.9,31.0/10,21.8/1,84.0,14.8/220.0/23,20.3/260.0/23,82,63/31,1004.6,5,195.8
504,2010,7,彭佳嶼,24.4,31.4/22,19.7/3,207.8,15.4/280.0/15,22.3/270.0/14,89,66/1,996.8,19,106.2
505,2010,7,基隆,25.6,33.4/30,19.7/1,321.6,8.5/20.0/4,13.9/330.0/4,83,56/9,1004.9,21,45.9
506,2010,7,臺北,26.2,35.2/27,19.4/1,419.6,8.4/60.0/1,14.6/70.0/1,82,53/9,1007.6,23,77.8
507,2010,7,鞍部,20.5,27.7/30,13.5/2,584.5,7.4/350.0/5,21.2/140.0/14,92,29/1,917.5,21,54.8
508,2010,7,竹子湖,22.3,29.9/22,15.5/1,455.1,6.6/20.0/2,14.9/40.0/2,89,41/1,941.2,22,66.2
509,2010,7,淡水,25.2,33.8/26,16.7/1,455.0,6.5/20.0/4,12.9/30.0/4,85,42/8,1006.2,22,91.6
510,2010,7,(原板橋),26.0,35.3/27,19.0/1,397.1,6.5/80.0/1,12.4/70.0/1,80,57/7,1007.0,23,96.7
511,2010,7,新竹,26.5,34.1/27,19.2/1,349.1,6.2/280.0/24,16.8/310.0/19,78,57/8,1005.1,15,117.8
512,2010,7,臺中,27.1,34.3/27,21.0/2,529.9,5.1/10.0/5,11.5/240.0/23,78,51/19,998.8,17,108.4
513,2010,7,梧棲,26.6,32.5/17,19.3/3,312.3,12.3/360.0/5,20.4/360.0/5,79,60/19,1005.7,17,131.7
514,2010,7,日月潭,21.6,29.2/22,17.6/8,474.0,7.4/280.0/17,15.1/210.0/22,87,62/7,899.6,21,70.3
515,2010,7,嘉義,27.7,36.4/22,20.9/7,269.8,9.4/250.0/22,14.3/240.0/22,80,50/22,1005.8,14,141.7
516,2010,7,阿里山,14.5,21.1/30,6.9/7,457.5,4.7/140.0/22,9.9/260.0/15,93,47/19,764.0,19,85.3
517,2010,7,玉山,6.8,17.4/21,2.6/5,371.0,13.5/300.0/15,24.9/270.0/15,84,35/19,643.5,20,107.4
518,2010,7,臺南,28.1,34.7/22,22.3/3,283.4,8.0/200.0/28,14.0/200.0/28,75,46/9,1006.2,12,165.4
519,2010,7,高雄,28.3,33.2/23,23.8/4,257.0,6.8/180.0/28,14.4/340.0/15,79,56/9,1008.4,11,186.1
520,2010,7,恆春,28.0,34.0/30,23.2/3,196.8,9.3/70.0/2,18.7/60.0/2,84,48/1,1006.0,13,162.8
521,2010,7,宜蘭,25.8,33.2/27,17.8/1,154.4,7.1/30.0/21,10.8/30.0/21,82,60/1,1007.2,20,119.3
522,2010,7,蘇澳,25.8,32.9/21,18.6/1,208.4,8.5/150.0/9,14.9/30.0/4,83,61/19,1005.5,20,107.5
523,2010,7,花蓮,26.5,32.5/30,20.1/2,61.4,9.0/40.0/5,14.2/50.0/5,79,51/1,1006.2,16,124.4
524,2010,7,成功,27.0,33.3/18,21.8/1,73.8,9.8/180.0/26,16.2/180.0/26,83,56/1,1003.9,16,146.0
525,2010,7,臺東,27.7,35.2/17,22.2/3,52.9,6.8/210.0/17,12.6/190.0/18,80,51/1,1006.8,11,178.4
526,2010,7,大武,28.0,36.7/18,21.9/1,83.1,7.2/190.0/20,12.5/190.0/20,75,42/18,1007.4,13,184.2
527,2010,7,蘭嶼,25.3,29.9/28,20.3/3,137.0,22.2/40.0/4,29.1/260.0/11,92,73/8,972.2,11,143.0
528,2010,7,馬祖,23.1,30.5/29,17.3/2,208.9,13.2/210.0/18,24.0/200.0/18,89,64/6,998.4,18,73.7
529,2010,7,金門,24.3,31.8/30,16.6/3,187.4,7.9/240.0/14,14.9/80.0/5,88,54/6,1005.2,16,96.2
530,2010,7,澎湖,26.8,33.1/22,21.8/4,137.1,9.4/20.0/2,16.9/20.0/2,87,65/1,1007.7,11,153.0
531,2010,7,東吉島,27.5,32.4/30,23.6/4,40.5,15.8/10.0/2,20.2/200.0/25,85,62/1,1003.9,5,158.0
532,2010,8,彭佳嶼,27.9,32.1/3,23.9/25,38.3,19.9/270.0/4,25.2/280.0/4,86,65/19,996.9,5,268.1
533,2010,8,基隆,29.9,38.1/3,25.3/28,5.0,8.8/240.0/5,18.5/240.0/28,71,39/3,1004.7,5,219.0
534,2010,8,臺北,30.3,38.6/3,25.0/28,89.1,7.3/270.0/5,17.0/270.0/6,69,40/3,1007.3,12,176.4
535,2010,8,鞍部,23.2,30.5/3,19.8/23,24.6,7.1/190.0/25,18.6/100.0/27,88,56/3,918.2,6,144.7
536,2010,8,竹子湖,25.3,33.0/3,21.4/27,19.7,4.4/20.0/30,11.8/300.0/4,83,62/3,941.7,9,162.6
